Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1617.82647494969,1454.11078195559,1774.30874287341,1815.92819979586,1776.91820712187,1908.11478234587,1929.72389709372,2155.35306784413,2191.50435559062,2565.02208584099,2848.58606111495,2757.05258747725,2985.31914452845,3046.57993117128,3017.94254424696,2967.692067153,2958.7853992308,2952.99891598909,2902.39211285546,2927.2451435353,2769.68574507111,2144.16657002819,1981.71016810561,1983.81261992909,..,..
Afghanistan,AFG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6206547590.07403,5621147630.73068,7228795918.92525,7867263256.28817,7978515641.58304,8874480195.58321,9349921885.77888,10642671963.1135,11060395115.6809,13426272073.2398,15354612541.5059,15420077665.5323,17386490239.3536,18360263162.7578,18860496494.0404,19134221644.7325,19566715174.1633,20084646751.4954,20323499020.3639,21118473702.3471,20621957125.2077,16345202562.5485,15325233810.1388,15672648238.1005,..,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,9035043,9214083,9404406,9604487,9814318,10036008,10266395,10505959,10756922,11017409,11290128,11567667,11853696,12157999,12469127,12773954,13059851,13340756,13611441,13655567,13169311,11937581,10991378,10917982,11190221,11426852,11420074,11387818,11523298,11874088,12045660,12238879,13278974,14943172,16250794,17065836,17763266,18452091,19159996,19887785,20130327,20284307,21378117,22733049,23560654,24404567,25424094,25909852,26482622,27466101,28284089,29347708,30560034,31622704,32792523,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761,42647492,..
Afghanistan,AFG,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,..,..,..,..,..,..,..,..,..,..,0.15347921653324,0.149779553647248,0.142774034360254,0.142498777965025,0.175521510046373,0.158729239200329,0.144817884981996,0.170987311363764,0.141990844319863,0.150685797228339,0.152225124002311,0.189158925916398,0.209964574050679,0.274602028103728,0.287795924673874,0.360011663754812,0.344235948033261,0.286358633409842,0.266711838919726,0.242755485726567,0.24144795718956,0.231491789403262,0.136358426486866,0.118642815594975,0.102991890734693,0.0851174240746249,0.0791295924972356,0.0744360083634966,0.0735542951052808,0.068549614750964,0.0501382814099344,0.0463511028500998,0.0439140640871224,0.0447454276810823,0.038301143932592,0.052297588398106,0.0557935319150409,0.0796685368947688,0.14737589049906,0.224491273806937,0.278191742360873,0.392640542832169,0.323442048526517,0.266539509081829,0.242701667084292,0.24909135686806,0.219353479990497,0.2913283907183,0.321418704642259,0.319752781855278,0.310824605884889,0.312156784785117,0.278420956418618,0.280995468771367,0.2829802981146,..
Afghanistan,AFG,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,..,..,..,..,..,..,..,..,..,..,1.7328,1.7326,1.6924,1.7325,2.1886,2.0276,1.8913,2.2811,1.9327,2.0577,2.0047,2.2581,2.3078,2.9981,3.2205,4.1138,3.9312,3.261,3.0734,2.8825,2.9084,2.8332,1.8107,1.7729,1.6737,1.4526,1.4056,1.3735,1.4093,1.3633,1.0093,0.9402,0.9388,1.0172,0.9024,1.2763,1.4185,2.0642,3.9029,6.1659,7.8684,11.5231,9.8844,8.4287,7.9588,8.4272,7.6117,10.3972,11.8099,12.1046,12.1436,12.4864,11.298,11.6486,12.0684,..
Afghanistan,AFG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5560.85699566409,4027.90551078531,3761.15540576541,4145.91969834494,4517.79881384115,5151.39732484423,5563.79315082011,4943.00399871118,5387.56822958918,6086.00863561374,6582.01638790869,7232.99054955267,7590.49000137636,8025.28131314895,8483.29399553028,8964.31799702863,9564.02920336839,10262.9667962049,11056.3517677907,11430.6220336089,11829.0532917923,12153.1140578808,12463.5700560026,12873.4832044649,13366.5595256489,13876.81917653,14643.4892877063,15359.4611530571,16170.990493278,16761.1925261726,16457.7872245882,18212.8702466686,19388.8731331744,20481.0358398226,21641.0733223921,..
Albania,ALB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4872357833.48621,5152305744.73323,5304226467.10994,5362834894.84554,5295713833.27528,5390011641.7466,5693859705.34246,5649001049.87206,5568782994.815,6116559061.23727,5530859374.75169,3982100297.96084,3695902333.01319,4049208851.98817,4385409261.20229,4969648100.72759,5334237832.94103,4709514660.14116,5100876515.377,5725771032.93267,6153077235.62289,6698469429.12028,7008501111.79519,7382282996.75923,7771053341.65332,8169772250.74253,8661509309.89701,9224515436.60112,9861658465.33864,10127011190.7491,10428102872.2706,10685000942.5337,10790155229.5092,10974367815.094,11220218560.8998,11470171826.9575,11918533446.9749,12309839868.7084,12761785703.1071,13025007474.8895,12593390460.142,13722964212.462,14385344334.623,14962975920.9066,15568367220.7999,..
Albania,ALB,"Population, total",SP.POP.TOTL,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2860708,2816902,2773767,2731293,2689469,2648285,2607733,2567801,2528480,2489762,2451636,2414095,2377128,..
Albania,ALB,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,..,..,..,..,..,..,..,..,..,..,2.26885864951142,2.21139171598823,2.46013821782637,2.15608824984152,2.2678377821766,2.25554311300877,2.35779487383904,2.46703263039547,2.65798635059655,3.03182175173961,3.01519799610553,2.59448081770881,2.61220323545278,2.73994711599319,2.90291138120436,2.72335519680838,2.69681916605875,2.68931980587656,2.60942814517607,2.44926877581172,2.02191239302586,1.34064326142788,0.727801544730445,0.688751883548008,0.730872545156157,0.649416648053946,0.648730616126789,0.502051754592427,0.612076598274589,0.992962508098037,1.04657550743325,1.12398874181296,1.31323725585954,1.38556975617973,1.45837098137756,1.3776914859669,1.3817995172674,1.42962144661125,1.42332985219763,1.46321851369709,1.56778821711206,1.72129581663193,1.58649537107597,1.69345614437421,1.83944794209463,1.78508860089342,1.68739628528903,2.0244422333699,2.04549315439886,1.94096037816015,1.80646079858255,2.0532886275877,1.84525761573088,1.74914408919284,1.7852214941728,..
